Row\Column,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
72,0.00950,0.01456,0.02004,0.02595,0.03173,0.03542,0.04083,0.04547,0.05215,0.05441,0.06024,0.07369,0.09002,0.10821,0.12466
73,0.01040,0.01593,0.02197,0.02840,0.03471,0.03864,0.04446,0.04948,0.05669,0.05921,0.06561,0.08031,0.09813,0.11784,0.13562
74,0.01142,0.01750,0.02415,0.03120,0.03811,0.04234,0.04859,0.05398,0.06176,0.06446,0.07142,0.08748,0.10687,0.12819,0.14723
75,0.01253,0.01924,0.02653,0.03430,0.04185,0.04644,0.05318,0.05894,0.06735,0.07018,0.07772,0.09520,0.11622,0.13918,0.15944
76,0.01374,0.02110,0.02908,0.03762,0.04587,0.05086,0.05815,0.06435,0.07345,0.07641,0.08454,0.10349,0.12616,0.15077,0.17221
77,0.01501,0.02305,0.03176,0.04109,0.05009,0.05553,0.06346,0.07019,0.08007,0.08319,0.09192,0.11235,0.13665,0.16289,0.18551
78,0.01640,0.02516,0.03464,0.04480,0.05460,0.06052,0.06918,0.07652,0.08722,0.09049,0.09979,0.12167,0.14755,0.17538,0.19917
79,0.01797,0.02751,0.03783,0.04887,0.05952,0.06597,0.07542,0.08337,0.09490,0.09825,0.10805,0.13132,0.15875,0.18814,0.21310
80,0.01969,0.03008,0.04129,0.05328,0.06484,0.07184,0.08212,0.09070,0.10304,0.10641,0.11667,0.14133,0.17030,0.20125,0.22736
81,0.02155,0.03285,0.04503,0.05802,0.07053,0.07810,0.08924,0.09844,0.11160,0.11495,0.12564,0.15169,0.18221,0.21474,0.24201
82,0.02353,0.03582,0.04902,0.06308,0.07659,0.08474,0.09675,0.10655,0.12052,0.12381,0.13494,0.16243,0.19454,0.22867,0.25712
83,0.02567,0.03903,0.05335,0.06855,0.08310,0.09179,0.10461,0.11495,0.12971,0.13291,0.14448,0.17345,0.20721,0.24300,0.27266
84,0.02798,0.04254,0.05809,0.07452,0.09013,0.09930,0.11285,0.12364,0.13913,0.14219,0.15419,0.18469,0.22016,0.25767,0.28857
85,0.03047,0.04633,0.06320,0.08093,0.09764,0.10725,0.12146,0.13264,0.14882,0.15170,0.16413,0.19618,0.23341,0.27268,0.30486
86,0.03312,0.05036,0.06866,0.08776,0.10561,0.11562,0.13047,0.14198,0.15883,0.16149,0.17433,0.20796,0.24698,0.28806,0.32154
87,0.03591,0.05462,0.07441,0.09496,0.11398,0.12440,0.13987,0.15169,0.16920,0.17159,0.18483,0.22007,0.26092,0.30383,0.33863

Table # ,2,,,,,,,,,,,,,,
Table Description:,1975-80 Modified Basic Table with Milliman Extension – Male. Basis: Age Nearest Birthday. Minimum Ultimate Age: 15. Maximum Ultimate Age: 102,,,,,,,,,,,,,,
Nation:,United States of America,,,,,,,,,,,,,,
Scaling Factor:,0,,,,,,,,,,,,,,
Data Type:,Floating Point,,,,,,,,,,,,,,
"Row, Column (if applicable)->id:",Age,,,,,,,,,,,,,,
"Row, Column (if applicable)->ScaleType:",Age,,,,,,,,,,,,,,
"Row, Column (if applicable)->AxisName:",Age,,,,,,,,,,,,,,
"Row, Column (if applicable)->MinScaleValue:",15,,,,,,,,,,,,,,
"Row, Column (if applicable)->MaxScaleValue:",102,,,,,,,,,,,,,,
"Row, Column (if applicable)->Increment:",1,,,,,,,,,,,,,,

Row\Column,1,,,,,,,,,,,,,,
15,0.00068,,,,,,,,,,,,,,
16,0.00101,,,,,,,,,,,,,,
17,0.00114,,,,,,,,,,,,,,
18,0.00122,,,,,,,,,,,,,,
19,0.00131,,,,,,,,,,,,,,
20,0.00137,,,,,,,,,,,,,,
21,0.00140,,,,,,,,,,,,,,
22,0.00141,,,,,,,,,,,,,,
23,0.00140,,,,,,,,,,,,,,
24,0.00138,,,,,,,,,,,,,,
25,0.00134,,,,,,,,,,,,,,
