Row\Column,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
56,0.00594,,,,,,,,,,,,,,
57,0.00643,,,,,,,,,,,,,,
58,0.00704,,,,,,,,,,,,,,
59,0.00778,,,,,,,,,,,,,,
60,0.00858,,,,,,,,,,,,,,
61,0.00937,,,,,,,,,,,,,,
62,0.01009,,,,,,,,,,,,,,
63,0.01079,,,,,,,,,,,,,,
64,0.01152,,,,,,,,,,,,,,
65,0.01244,,,,,,,,,,,,,,
66,0.01354,,,,,,,,,,,,,,
67,0.01477,,,,,,,,,,,,,,
68,0.01627,,,,,,,,,,,,,,
69,0.01798,,,,,,,,,,,,,,
70,0.02005,,,,,,,,,,,,,,
71,0.02264,,,,,,,,,,,,,,
72,0.02604,,,,,,,,,,,,,,
73,0.02998,,,,,,,,,,,,,,
74,0.03451,,,,,,,,,,,,,,
75,0.03906,,,,,,,,,,,,,,
76,0.04374,,,,,,,,,,,,,,
77,0.04909,,,,,,,,,,,,,,
78,0.05479,,,,,,,,,,,,,,
79,0.06039,,,,,,,,,,,,,,
80,0.06605,,,,,,,,,,,,,,
81,0.07230,,,,,,,,,,,,,,
82,0.07936,,,,,,,,,,,,,,
83,0.08755,,,,,,,,,,,,,,
84,0.09773,,,,,,,,,,,,,,
85,0.10682,,,,,,,,,,,,,,
86,0.11483,,,,,,,,,,,,,,
87,0.12627,,,,,,,,,,,,,,
88,0.13982,,,,,,,,,,,,,,
89,0.15031,,,,,,,,,,,,,,
90,0.16659,,,,,,,,,,,,,,
91,0.19070,,,,,,,,,,,,,,
92,0.21042,,,,,,,,,,,,,,
93,0.22459,,,,,,,,,,,,,,
94,0.23421,,,,,,,,,,,,,,
95,0.23833,,,,,,,,,,,,,,
96,0.27696,,,,,,,,,,,,,,
97,0.39011,,,,,,,,,,,,,,
98,0.61779,,,,,,,,,,,,,,
99,1.00000,,,,,,,,,,,,,,
