Row\Column,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
20,0.00051,,,,,,,,,,,,,,
21,0.00052,,,,,,,,,,,,,,
22,0.00053,,,,,,,,,,,,,,
23,0.00053,,,,,,,,,,,,,,
24,0.00053,,,,,,,,,,,,,,
25,0.00053,,,,,,,,,,,,,,
26,0.00053,,,,,,,,,,,,,,
27,0.00053,,,,,,,,,,,,,,
28,0.00053,,,,,,,,,,,,,,
29,0.00054,,,,,,,,,,,,,,
30,0.00055,,,,,,,,,,,,,,
31,0.00058,,,,,,,,,,,,,,
32,0.00061,,,,,,,,,,,,,,
33,0.00065,,,,,,,,,,,,,,
34,0.00070,,,,,,,,,,,,,,
35,0.00077,,,,,,,,,,,,,,
36,0.00084,,,,,,,,,,,,,,
37,0.00093,,,,,,,,,,,,,,
38,0.00103,,,,,,,,,,,,,,
39,0.00115,,,,,,,,,,,,,,
40,0.00129,,,,,,,,,,,,,,
41,0.00145,,,,,,,,,,,,,,
42,0.00162,,,,,,,,,,,,,,
43,0.00179,,,,,,,,,,,,,,
44,0.00196,,,,,,,,,,,,,,
45,0.00214,,,,,,,,,,,,,,
46,0.00233,,,,,,,,,,,,,,
47,0.00252,,,,,,,,,,,,,,
48,0.00272,,,,,,,,,,,,,,
49,0.00293,,,,,,,,,,,,,,
50,0.00317,,,,,,,,,,,,,,
51,0.00343,,,,,,,,,,,,,,
52,0.00371,,,,,,,,,,,,,,
53,0.00404,,,,,,,,,,,,,,
54,0.00440,,,,,,,,,,,,,,
55,0.00480,,,,,,,,,,,,,,
56,0.00523,,,,,,,,,,,,,,
57,0.00570,,,,,,,,,,,,,,
58,0.00622,,,,,,,,,,,,,,
59,0.00678,,,,,,,,,,,,,,
60,0.00737,,,,,,,,,,,,,,
61,0.00800,,,,,,,,,,,,,,
62,0.00867,,,,,,,,,,,,,,
63,0.00938,,,,,,,,,,,,,,
64,0.01015,,,,,,,,,,,,,,
65,0.01099,,,,,,,,,,,,,,
66,0.01191,,,,,,,,,,,,,,
67,0.01292,,,,,,,,,,,,,,
68,0.01403,,,,,,,,,,,,,,
69,0.01525,,,,,,,,,,,,,,
70,0.01663,,,,,,,,,,,,,,
71,0.01821,,,,,,,,,,,,,,
72,0.02004,,,,,,,,,,,,,,
73,0.02217,,,,,,,,,,,,,,
74,0.02465,,,,,,,,,,,,,,
75,0.02753,,,,,,,,,,,,,,
76,0.03086,,,,,,,,,,,,,,
77,0.03469,,,,,,,,,,,,,,
78,0.03907,,,,,,,,,,,,,,
79,0.04400,,,,,,,,,,,,,,
80,0.04948,,,,,,,,,,,,,,
81,0.05551,,,,,,,,,,,,,,
82,0.06209,,,,,,,,,,,,,,
83,0.06922,,,,,,,,,,,,,,
84,0.07690,,,,,,,,,,,,,,
85,0.08513,,,,,,,,,,,,,,
86,0.09391,,,,,,,,,,,,,,
87,0.10324,,,,,,,,,,,,,,
88,0.11312,,,,,,,,,,,,,,
89,0.12355,,,,,,,,,,,,,,
90,0.13453,,,,,,,,,,,,,,
91,0.14606,,,,,,,,,,,,,,
